Nombre,Edad,Ingresos (MXN),Carrera,Trabajo
Carmen Rodríguez,24,28667,Gastronomía,Arquitecto
Isabel Pérez,42,106223,Comunicación,Especialista en Marketing
Elena García,40,120776,Enfermería,Arquitecto
Francisco Pérez,34,65470,Comunicación,Gerente de Proyectos
Carmen González,23,113221,Contaduría Pública,Desarrollador de Software
Francisco Jiménez,35,60776,Contaduría Pública,Consultor Financiero
Sofía García,48,107039,Administración de Empresas,Profesor de Secundaria
Patricia Jiménez,46,136745,Derecho,Chef Ejecutivo
Carlos Hernández,38,63197,Ingeniería Industrial,Arquitecto
Miguel García,39,81203,Marketing,Abogado Corporativo
Elena Ramírez,36,22923,Medicina,Desarrollador de Software
Elena López,63,130973,Arquitectura,Diplomático
David Rodríguez,55,134809,Ingeniería Industrial,Gerente de Proyectos
José González,37,134665,Contaduría Pública,Especialista en Marketing
María Sánchez,63,59529,Derecho,Médico General
Sofía Pérez,46,19819,Ingeniería Industrial,Médico General
Sofía González,54,51718,Economía,Psicólogo Clínico
Laura Hernández,25,111613,Psicología,Abogado Corporativo
Francisco Sánchez,35,120934,Contaduría Pública,Gerente de Proyectos
José Rodríguez,29,99501,Psicología,Psicólogo Clínico
María González,22,61916,Marketing,Contador
María Flores,54,120016,Economía,Analista de Comunicación
Laura Hernández,50,146674,Enfermería,Profesor de Secundaria
David Jiménez,44,41026,Ingeniería en Sistemas,Analista de Comunicación
Laura Hernández,36,125761,Enfermería,Especialista en Marketing
Elena Rodríguez,53,93680,Derecho,Jefe de Enfermería
Javier Rodríguez,37,85213,Marketing,Analista de Comunicación
José Ramírez,33,92074,Psicología,Diseñador UX/UI
Isabel Hernández,45,112600,Educación,Diplomático
Laura Hernández,48,79857,Gastronomía,Especialista en Marketing
Javier González,53,62376,Comunicación,Abogado Corporativo
Carlos Ramírez,37,77719,Educación,Gerente de Proyectos
Javier Pérez,33,40632,Enfermería,Abogado Corporativo
David Hernández,41,81585,Economía,Médico General
Patricia Gómez,29,97792,Ingeniería Industrial,Médico General
Patricia Flores,37,52189,Diseño Gráfico,Consultor Financiero
Laura González,44,80533,Ingeniería en Sistemas,Especialista en Marketing
Juan Flores,47,126067,Enfermería,Desarrollador de Software
Sofía López,48,103694,Medicina,Arquitecto
Miguel González,59,63687,Relaciones Internacionales,Consultor Financiero
Patricia García,60,15921,Comunicación,Contador
Luis González,23,16521,Ingeniería en Sistemas,Ingeniero de Procesos
María Pérez,61,67807,Gastronomía,Psicólogo Clínico
Juan Ramírez,30,106521,Administración de Empresas,Chef Ejecutivo
Javier Sánchez,27,143873,Medicina,Ingeniero de Procesos
Carlos Hernández,51,69601,Arquitectura,Jefe de Enfermería
Patricia Gómez,33,97496,Derecho,Médico General
Ana Rodríguez,63,75027,Administración de Empresas,Diseñador UX/UI
Ana García,61,41481,Economía,Analista de Comunicación
Carmen López,53,119473,Marketing,Ingeniero de Procesos
Isabel López,43,117617,Educación,Psicólogo Clínico
Carlos Gómez,39,47899,Psicología,Contador
María Hernández,57,100937,Marketing,Ingeniero de Procesos
Miguel Flores,30,43829,Gastronomía,Especialista en Marketing
Carmen Rodríguez,59,19217,Ingeniería en Sistemas,Jefe de Enfermería
Patricia Pérez,45,138203,Comunicación,Diseñador UX/UI
Sofía Martínez,47,68245,Enfermería,Jefe de Enfermería
Juan Martínez,40,137941,Administración de Empresas,Gerente de Proyectos
Patricia Jiménez,52,33252,Administración de Empresas,Psicólogo Clínico
María Gómez,38,89120,Administración de Empresas,Psicólogo Clínico
María Jiménez,47,18238,Contaduría Pública,Chef Ejecutivo
Isabel Gómez,38,41903,Comunicación,Profesor de Secundaria
Elena Rodríguez,42,135189,Psicología,Desarrollador de Software
Elena Martínez,28,63594,Enfermería,Gerente de Proyectos
Francisco Sánchez,23,67161,Relaciones Internacionales,Diplomático
Javier Flores,42,111444,Ingeniería en Sistemas,Ingeniero de Procesos
Francisco Jiménez,53,135158,Gastronomía,Psicólogo Clínico
Elena Pérez,43,92047,Administración de Empresas,Especialista en Marketing
Francisco López,51,132912,Arquitectura,Ingeniero de Procesos
Laura Ramírez,39,141085,Economía,Diseñador UX/UI
José López,38,94831,Ingeniería en Sistemas,Abogado Corporativo
Laura Rodríguez,47,13397,Arquitectura,Contador
Francisco Ramírez,57,117190,Administración de Empresas,Chef Ejecutivo
Elena Pérez,47,44174,Administración de Empresas,Psicólogo Clínico
Isabel Gómez,28,140853,Arquitectura,Analista de Comunicación
José García,47,59972,Ingeniería en Sistemas,Contador
Javier Rodríguez,64,68019,Economía,Arquitecto
David Hernández,45,39415,Educación,Chef Ejecutivo
Javier Sánchez,62,133002,Arquitectura,Jefe de Enfermería
Ana López,35,147297,Ingeniería Industrial,Diplomático
Sofía Ramírez,53,81698,Administración de Empresas,Diplomático
José Gómez,22,148080,Derecho,Abogado Corporativo
Sofía García,45,48700,Arquitectura,Analista de Comunicación
Luis Flores,45,91014,Relaciones Internacionales,Arquitecto
Javier Pérez,43,142524,Arquitectura,Arquitecto
Sofía López,36,19129,Arquitectura,Especialista en Marketing
Laura López,60,59860,Marketing,Jefe de Enfermería
Javier Pérez,53,77565,Relaciones Internacionales,Contador
Francisco López,43,38256,Diseño Gráfico,Profesor de Secundaria
José Sánchez,29,32383,Contaduría Pública,Profesor de Secundaria
Luis Martínez,50,113576,Economía,Diseñador UX/UI
Juan Sánchez,59,124012,Psicología,Médico General
Ana Sánchez,36,55026,Gastronomía,Diplomático
Carmen Gómez,45,75780,Ingeniería en Sistemas,Desarrollador de Software
Elena Rodríguez,22,88858,Administración de Empresas,Consultor Financiero
Carmen Flores,46,139536,Gastronomía,Arquitecto
Luis Flores,59,53513,Economía,Abogado Corporativo
Juan Jiménez,40,121616,Ingeniería en Sistemas,Diplomático
Francisco Jiménez,51,16062,Educación,Diplomático
Patricia Hernández,61,136411,Ingeniería Industrial,Jefe de Enfermería
Miguel Gómez,28,57642,Ingeniería en Sistemas,Médico General
David Ramírez,28,61283,Relaciones Internacionales,Diplomático
Javier González,50,105261,Economía,Gerente de Proyectos
María Hernández,48,24589,Arquitectura,Profesor de Secundaria
Javier Rodríguez,64,49727,Diseño Gráfico,Médico General
Juan Rodríguez,29,52403,Derecho,Profesor de Secundaria
Ana Martínez,39,40822,Economía,Jefe de Enfermería
Sofía Martínez,35,92466,Diseño Gráfico,Abogado Corporativo
José Sánchez,28,51221,Psicología,Arquitecto
Francisco Pérez,28,61092,Diseño Gráfico,Especialista en Marketing
Sofía García,44,142698,Gastronomía,Abogado Corporativo
Laura Jiménez,29,28251,Derecho,Profesor de Secundaria
María Gómez,27,126704,Diseño Gráfico,Contador
Isabel González,27,35378,Marketing,Jefe de Enfermería
Francisco Gómez,40,72854,Administración de Empresas,Contador
Ana González,63,99025,Educación,Ingeniero de Procesos
Laura Jiménez,35,19263,Comunicación,Ingeniero de Procesos
Luis Ramírez,51,21496,Medicina,Desarrollador de Software
Carmen Flores,46,40273,Diseño Gráfico,Diplomático
Isabel Rodríguez,30,111228,Enfermería,Ingeniero de Procesos
José López,52,94323,Diseño Gráfico,Ingeniero de Procesos
Juan Sánchez,27,125845,Ingeniería en Sistemas,Ingeniero de Procesos
Laura Gómez,32,111160,Comunicación,Abogado Corporativo
Carlos Martínez,31,130048,Contaduría Pública,Psicólogo Clínico
David Pérez,38,111236,Comunicación,Consultor Financiero
Luis Ramírez,47,108387,Diseño Gráfico,Diseñador UX/UI
Miguel Flores,26,149537,Enfermería,Psicólogo Clínico
Isabel López,46,14053,Economía,Chef Ejecutivo
María Martínez,40,81220,Arquitectura,Consultor Financiero
Sofía Jiménez,32,32561,Educación,Contador
María Sánchez,62,146929,Enfermería,Desarrollador de Software
Carlos López,25,127621,Enfermería,Gerente de Proyectos
Javier López,39,13274,Ingeniería en Sistemas,Consultor Financiero
Carmen López,38,61906,Diseño Gráfico,Consultor Financiero
Luis Gómez,57,15345,Derecho,Gerente de Proyectos
Luis González,43,92886,Psicología,Diplomático
Carlos González,24,20643,Marketing,Analista de Comunicación
Javier Jiménez,62,98840,Gastronomía,Ingeniero de Procesos
Francisco Hernández,26,75889,Gastronomía,Gerente de Proyectos
Sofía Sánchez,30,110633,Ingeniería en Sistemas,Chef Ejecutivo
Carlos García,50,110666,Arquitectura,Arquitecto
Luis Rodríguez,64,124429,Contaduría Pública,Profesor de Secundaria
Ana López,54,94019,Comunicación,Analista de Comunicación
Luis Jiménez,29,55482,Derecho,Psicólogo Clínico
Elena Gómez,30,128507,Educación,Jefe de Enfermería
Elena García,57,21789,Medicina,Ingeniero de Procesos
María Gómez,43,147119,Economía,Analista de Comunicación
Elena Ramírez,27,145269,Arquitectura,Analista de Comunicación
José Pérez,57,117579,Educación,Especialista en Marketing
Isabel Martínez,35,119599,Psicología,Diplomático
Ana Gómez,44,92239,Ingeniería Industrial,Diseñador UX/UI
Laura García,51,126725,Administración de Empresas,Especialista en Marketing
Patricia Martínez,48,72151,Gastronomía,Profesor de Secundaria
Ana Flores,59,94723,Arquitectura,Desarrollador de Software
Laura González,63,85225,Enfermería,Desarrollador de Software
Juan Flores,58,56227,Marketing,Diseñador UX/UI
Patricia Flores,63,95787,Enfermería,Analista de Comunicación
Carlos López,27,125962,Marketing,Analista de Comunicación
Francisco García,26,120775,Ingeniería en Sistemas,Psicólogo Clínico
Carlos Ramírez,29,25469,Educación,Diseñador UX/UI
Francisco García,36,102129,Relaciones Internacionales,Ingeniero de Procesos
David Hernández,55,105154,Psicología,Médico General
María Rodríguez,33,133903,Psicología,Especialista en Marketing
Miguel Hernández,22,58996,Psicología,Desarrollador de Software
Luis López,56,140106,Contaduría Pública,Desarrollador de Software
Elena Flores,36,55260,Comunicación,Especialista en Marketing
Juan Pérez,43,74031,Economía,Consultor Financiero
Patricia Gómez,58,81208,Arquitectura,Contador
Luis Pérez,24,80880,Gastronomía,Psicólogo Clínico
Laura Pérez,35,104634,Derecho,Chef Ejecutivo
Laura Rodríguez,54,55800,Relaciones Internacionales,Especialista en Marketing
Carmen González,63,12168,Ingeniería Industrial,Analista de Comunicación
Carlos Sánchez,35,94661,Comunicación,Diseñador UX/UI
Sofía Ramírez,64,30158,Administración de Empresas,Arquitecto
Francisco Ramírez,57,134043,Arquitectura,Chef Ejecutivo
Elena Hernández,27,41161,Derecho,Médico General
Juan Ramírez,48,52849,Derecho,Jefe de Enfermería
Laura Pérez,43,119214,Relaciones Internacionales,Gerente de Proyectos
Luis Jiménez,46,27280,Medicina,Chef Ejecutivo
Javier Rodríguez,34,89327,Psicología,Gerente de Proyectos
Sofía Flores,34,66292,Medicina,Ingeniero de Procesos
Isabel López,60,24839,Comunicación,Gerente de Proyectos
David López,29,13256,Arquitectura,Médico General
Carlos Sánchez,59,30448,Comunicación,Ingeniero de Procesos
Francisco Gómez,59,128200,Administración de Empresas,Profesor de Secundaria
Francisco Jiménez,34,54474,Administración de Empresas,Jefe de Enfermería
Laura Jiménez,59,109281,Psicología,Psicólogo Clínico
Carmen Ramírez,58,43792,Ingeniería Industrial,Jefe de Enfermería
Patricia Gómez,32,76944,Ingeniería Industrial,Contador
Isabel Martínez,39,123836,Administración de Empresas,Diplomático
María González,32,34786,Derecho,Arquitecto
Patricia García,50,114832,Enfermería,Analista de Comunicación
Luis Ramírez,29,82329,Ingeniería en Sistemas,Diplomático
Luis Rodríguez,35,119067,Marketing,Chef Ejecutivo
Luis González,62,101971,Diseño Gráfico,Médico General
Miguel González,23,101325,Gastronomía,Ingeniero de Procesos
Laura López,63,69823,Medicina,Consultor Financiero
Juan García,28,79019,Gastronomía,Abogado Corporativo
María Jiménez,24,44035,Administración de Empresas,Psicólogo Clínico
Carmen López,33,70971,Economía,Gerente de Proyectos
Isabel Gómez,38,140484,Relaciones Internacionales,Profesor de Secundaria
Carmen Ramírez,57,60263,Economía,Consultor Financiero
Miguel Rodríguez,40,84773,Diseño Gráfico,Gerente de Proyectos
David Jiménez,50,50887,Relaciones Internacionales,Psicólogo Clínico
Isabel Jiménez,57,105473,Medicina,Diseñador UX/UI
Francisco Martínez,54,91987,Derecho,Consultor Financiero
José Pérez,46,110848,Economía,Ingeniero de Procesos
Juan Rodríguez,29,105269,Relaciones Internacionales,Abogado Corporativo
Luis García,36,21610,Arquitectura,Profesor de Secundaria
Javier Martínez,61,45401,Economía,Ingeniero de Procesos
María García,53,41038,Contaduría Pública,Analista de Comunicación
Carlos Ramírez,36,82687,Arquitectura,Arquitecto
María Hernández,46,139491,Gastronomía,Desarrollador de Software
Carlos López,39,103444,Psicología,Contador
Miguel Sánchez,46,59263,Administración de Empresas,Contador
Patricia Sánchez,63,48514,Enfermería,Contador
Ana Gómez,58,91575,Administración de Empresas,Diseñador UX/UI
Luis Gómez,29,27066,Administración de Empresas,Ingeniero de Procesos
David Rodríguez,32,83120,Medicina,Diplomático
Sofía Flores,59,110270,Ingeniería Industrial,Consultor Financiero
José Martínez,41,144033,Marketing,Psicólogo Clínico
Francisco Pérez,54,135893,Marketing,Gerente de Proyectos
Miguel Martínez,33,43436,Marketing,Desarrollador de Software
Javier García,61,137300,Marketing,Psicólogo Clínico
Patricia Martínez,40,57719,Ingeniería Industrial,Analista de Comunicación
José García,47,60995,Economía,Diplomático
Francisco Rodríguez,34,42794,Gastronomía,Consultor Financiero
Sofía Rodríguez,63,109244,Gastronomía,Consultor Financiero
Laura Pérez,54,9242,Ingeniería Industrial,Jefe de Enfermería
Patricia López,41,117144,Marketing,Jefe de Enfermería
José López,24,123367,Comunicación,Desarrollador de Software
Juan Ramírez,41,78949,Medicina,Profesor de Secundaria
